标题,链接,服务,dsr,店铺名,价格,付款人数,发货地,好评率,动态评分,店铺类型,店铺等级
冬天被子加厚保暖毛绒羊羔绒被芯棉絮学生宿舍羊绒子冬单双人,https://item.taobao.com/item.htm?id=572704541736&ns=1&abbucket=10#detail,"公益宝贝,",红红红,孟楼郭奇,36.00,39人收货,江苏 南通,好评率：98.72%,"60.09%,63.99%,71.62%,",淘宝c店,1钻
恒源祥羊毛被加厚保暖单双人纯棉羊绒被100%澳洲纯春秋冬,https://item.taobao.com/item.htm?id=576572669426&ns=1&abbucket=10#detail,,红红红,品牌家居直销店8888,88.00,39人收货,,好评率：100.00%,"100.00%,100.00%,100.00%,",淘宝c店,5心
恒源祥羊毛被正品100%澳洲纯羊毛加厚保暖单人双人纯棉春秋冬,https://item.taobao.com/item.htm?id=576857017738&ns=1&abbucket=10#detail,,红红红,温馨小家庭zhenzhen,238.00,38人收货,,好评率：100.00%,"94.04%,92.83%,92.93%,",淘宝c店,1钻
无印良品新品 四季羊毛被 纯羊毛被 单双人羊毛被,https://detail.tmall.com/item.htm?id=561199240933&ns=1&abbucket=10,"天猫,",蓝黄红,无印良品旗舰店,399.00,38人收货,北京,,"0.78%,0.00%,10.82%,",天猫店,
南极人羊毛被被芯春秋被双人被子被芯加厚保暖冬被单人床上用品,https://detail.tmall.com/item.htm?id=550119519314&ns=1&abbucket=10,"天猫,公益宝贝,",黄红红,南极人尊品专卖店,109.00,38人收货,,,"0.00%,6.53%,15.73%,",天猫店,
水星家纺爱意浓浓羊毛被春秋被保暖双人四季被1.8米床羊毛芯,https://detail.tmall.com/item.htm?id=521182944686&ns=1&abbucket=10,"天猫,",黄黄红,水星旗舰店,229.00,37人收货,上海,,"0.00%,0.00%,8.26%,",天猫店,
恒源祥澳洲进口羊毛被子加厚保暖冬被棉被双人春秋芯单人空调,https://detail.tmall.com/item.htm?id=573892257189&ns=1&abbucket=10,"天猫,",黄红红,恒源祥海洋时代专卖店,219.00,37人收货,,,"0.00%,0.84%,8.16%,",天猫店,
小绵羊羊毛被100%纯羊毛冬被棉被芯单双人加厚保暖春秋羊绒子,https://detail.tmall.com/item.htm?id=576299983404&ns=1&abbucket=10,"天猫,",蓝蓝蓝,小绵羊锐洁专卖店,169.00,35人收货,上海,,"1.69%,1.25%,1.34%,",天猫店,
冬季学生羊羔绒冬被保暖加厚棉被被芯单人双人羊毛羊绒子特价,https://item.taobao.com/item.htm?id=536969071077&ns=1&abbucket=10#detail,"15天退换,",蓝蓝蓝,天天乐家居店,45.00,35人收货,江苏 南通,好评率：98.55%,"1.82%,1.80%,0.98%,",淘宝c店,3冠
南极人新西兰纯羊毛被子被芯双人空调被学生宿舍加厚保暖棉冬,https://detail.tmall.com/item.htm?id=541006663778&ns=1&abbucket=10,"天猫,",黄黄红,南极人家纺旗舰店,359.00,34人收货,上海,,"0.00%,0.00%,11.97%,",天猫店,
